date,shift,gast_no,task_no,task_name
2021-03-01,0,0,0,VAGTHAVENDE_ELEV
2021-03-01,0,17,1,ORDONNANS
2021-03-01,0,15,2,UDKIG
2021-03-01,0,1,3,BJÆRGEMÆRS
2021-03-01,0,8,4,RORGÆNGER
2021-03-01,0,5,5,UDSÆTNINGSGAST
2021-03-01,0,11,6,HU
2021-03-01,0,3,7,PEJLEGAST_A
2021-03-01,0,18,8,PEJLEGAST_B
2021-03-01,0,16,9,DÆKSELEV_I_KABYS
2021-03-01,1,21,0,VAGTHAVENDE_ELEV
2021-03-01,1,33,1,ORDONNANS
2021-03-01,1,28,2,UDKIG
2021-03-01,1,25,3,BJÆRGEMÆRS
2021-03-01,1,24,4,RORGÆNGER
2021-03-01,1,34,5,UDSÆTNINGSGAST
2021-03-01,1,39,6,HU
2021-03-01,1,27,7,PEJLEGAST_A
2021-03-01,1,23,8,PEJLEGAST_B
2021-03-01,1,26,9,DÆKSELEV_I_KABYS
2021-03-01,1,59,-1,SICK
2021-03-01,2,56,0,VAGTHAVENDE_ELEV
2021-03-01,2,45,1,ORDONNANS
2021-03-01,2,50,2,UDKIG
2021-03-01,2,47,3,BJÆRGEMÆRS
2021-03-01,2,40,4,RORGÆNGER
2021-03-01,2,42,5,UDSÆTNINGSGAST
2021-03-01,2,51,6,HU
2021-03-01,2,52,7,PEJLEGAST_A
2021-03-01,2,59,8,PEJLEGAST_B
2021-03-01,2,58,9,DÆKSELEV_I_KABYS
2021-03-01,3,5,0,VAGTHAVENDE_ELEV
2021-03-01,3,3,1,ORDONNANS
2021-03-01,3,11,2,UDKIG
2021-03-01,3,0,3,BJÆRGEMÆRS
2021-03-01,3,9,4,RORGÆNGER
2021-03-01,3,8,5,UDSÆTNINGSGAST
2021-03-01,3,7,6,HU
2021-03-01,3,16,7,PEJLEGAST_A
2021-03-01,3,17,8,PEJLEGAST_B
2021-03-01,3,15,9,DÆKSELEV_I_KABYS
2021-03-01,3,1,-1,SICK
2021-03-01,4,21,0,VAGTHAVENDE_ELEV
2021-03-01,4,25,1,ORDONNANS
2021-03-01,4,22,2,UDKIG
2021-03-01,4,39,3,BJÆRGEMÆRS
2021-03-01,4,23,4,RORGÆNGER
2021-03-01,4,36,5,UDSÆTNINGSGAST
2021-03-01,4,33,6,HU
2021-03-01,4,26,7,PEJLEGAST_A
2021-03-01,4,30,8,PEJLEGAST_B
2021-03-01,4,20,9,DÆKSELEV_I_KABYS
2021-03-01,5,45,0,VAGTHAVENDE_ELEV
2021-03-01,5,53,1,ORDONNANS
2021-03-01,5,59,2,UDKIG
2021-03-01,5,54,3,BJÆRGEMÆRS
2021-03-01,5,58,4,RORGÆNGER
2021-03-01,5,41,5,UDSÆTNINGSGAST
2021-03-01,5,43,6,HU
2021-03-01,5,55,7,PEJLEGAST_A
2021-03-01,5,51,8,PEJLEGAST_B
2021-03-01,5,48,9,DÆKSELEV_I_KABYS
2021-03-02,0,6,0,VAGTHAVENDE_ELEV
2021-03-02,0,3,1,ORDONNANS
2021-03-02,0,16,2,UDKIG
2021-03-02,0,8,3,BJÆRGEMÆRS
2021-03-02,0,9,4,RORGÆNGER
2021-03-02,0,15,5,UDSÆTNINGSGAST
2021-03-02,0,1,6,HU
2021-03-02,0,14,7,PEJLEGAST_A
2021-03-02,0,12,8,PEJLEGAST_B
2021-03-02,0,17,9,DÆKSELEV_I_KABYS
2021-03-02,0,23,-1,SICK
2021-03-02,1,28,0,VAGTHAVENDE_ELEV
2021-03-02,1,20,1,ORDONNANS
2021-03-02,1,34,2,UDKIG
2021-03-02,1,21,3,BJÆRGEMÆRS
2021-03-02,1,29,4,RORGÆNGER
2021-03-02,1,25,5,UDSÆTNINGSGAST
2021-03-02,1,27,6,HU
2021-03-02,1,22,7,PEJLEGAST_A
2021-03-02,1,30,8,PEJLEGAST_B
2021-03-02,1,33,9,DÆKSELEV_I_KABYS
2021-03-02,1,41,-1,SICK
2021-03-02,2,55,0,VAGTHAVENDE_ELEV
2021-03-02,2,44,1,ORDONNANS
2021-03-02,2,41,2,UDKIG
2021-03-02,2,42,3,BJÆRGEMÆRS
2021-03-02,2,47,4,RORGÆNGER
2021-03-02,2,57,5,UDSÆTNINGSGAST
2021-03-02,2,40,6,HU
2021-03-02,2,59,7,PEJLEGAST_A
2021-03-02,2,52,8,PEJLEGAST_B
2021-03-02,2,48,9,DÆKSELEV_I_KABYS
2021-03-02,2,56,-1,SICK
2021-03-02,3,13,0,VAGTHAVENDE_ELEV
2021-03-02,3,1,1,ORDONNANS
2021-03-02,3,11,2,UDKIG
2021-03-02,3,3,3,BJÆRGEMÆRS
2021-03-02,3,14,4,RORGÆNGER
2021-03-02,3,16,5,UDSÆTNINGSGAST
2021-03-02,3,9,6,HU
2021-03-02,3,17,7,PEJLEGAST_A
2021-03-02,3,15,8,PEJLEGAST_B
2021-03-02,3,18,9,DÆKSELEV_I_KABYS
2021-03-02,3,12,-1,SICK
2021-03-02,4,38,0,VAGTHAVENDE_ELEV
2021-03-02,4,35,1,ORDONNANS
2021-03-02,4,29,2,UDKIG
2021-03-02,4,37,3,BJÆRGEMÆRS
2021-03-02,4,33,4,RORGÆNGER
2021-03-02,4,25,5,UDSÆTNINGSGAST
2021-03-02,4,23,6,HU
2021-03-02,4,28,7,PEJLEGAST_A
2021-03-02,4,36,8,PEJLEGAST_B
2021-03-02,4,30,9,DÆKSELEV_I_KABYS
2021-03-02,5,55,0,VAGTHAVENDE_ELEV
2021-03-02,5,49,1,ORDONNANS
2021-03-02,5,58,2,UDKIG
2021-03-02,5,48,3,BJÆRGEMÆRS
2021-03-02,5,42,4,RORGÆNGER
2021-03-02,5,52,5,UDSÆTNINGSGAST
2021-03-02,5,59,6,HU
2021-03-02,5,56,7,PEJLEGAST_A
2021-03-02,5,44,8,PEJLEGAST_B
2021-03-02,5,53,9,DÆKSELEV_I_KABYS
2021-03-03,0,19,0,VAGTHAVENDE_ELEV
2021-03-03,0,14,1,ORDONNANS
2021-03-03,0,4,2,UDKIG
2021-03-03,0,12,3,BJÆRGEMÆRS
2021-03-03,0,7,4,RORGÆNGER
2021-03-03,0,1,5,UDSÆTNINGSGAST
2021-03-03,0,10,6,HU
2021-03-03,0,0,7,PEJLEGAST_A
2021-03-03,0,8,8,PEJLEGAST_B
2021-03-03,0,11,9,DÆKSELEV_I_KABYS
2021-03-03,0,58,-1,SICK
2021-03-03,1,35,0,VAGTHAVENDE_ELEV
2021-03-03,1,37,1,ORDONNANS
2021-03-03,1,38,2,UDKIG
2021-03-03,1,34,3,BJÆRGEMÆRS
2021-03-03,1,25,4,RORGÆNGER
2021-03-03,1,33,5,UDSÆTNINGSGAST
2021-03-03,1,26,6,HU
2021-03-03,1,28,7,PEJLEGAST_A
2021-03-03,1,31,8,PEJLEGAST_B
2021-03-03,1,21,9,DÆKSELEV_I_KABYS
2021-03-03,1,22,-1,SICK
2021-03-03,2,46,0,VAGTHAVENDE_ELEV
2021-03-03,2,44,1,ORDONNANS
2021-03-03,2,49,2,UDKIG
2021-03-03,2,41,3,BJÆRGEMÆRS
2021-03-03,2,52,4,RORGÆNGER
2021-03-03,2,59,5,UDSÆTNINGSGAST
2021-03-03,2,50,6,HU
2021-03-03,2,56,7,PEJLEGAST_A
2021-03-03,2,54,8,PEJLEGAST_B
2021-03-03,2,51,9,DÆKSELEV_I_KABYS
2021-03-03,3,6,0,VAGTHAVENDE_ELEV
2021-03-03,3,16,1,ORDONNANS
2021-03-03,3,7,2,UDKIG
2021-03-03,3,18,3,BJÆRGEMÆRS
2021-03-03,3,14,4,RORGÆNGER
2021-03-03,3,9,5,UDSÆTNINGSGAST
2021-03-03,3,4,6,HU
2021-03-03,3,15,7,PEJLEGAST_A
2021-03-03,3,10,8,PEJLEGAST_B
2021-03-03,3,11,9,DÆKSELEV_I_KABYS
2021-03-03,3,24,-1,SICK
2021-03-03,4,34,0,VAGTHAVENDE_ELEV
2021-03-03,4,29,1,ORDONNANS
2021-03-03,4,35,2,UDKIG
2021-03-03,4,28,3,BJÆRGEMÆRS
2021-03-03,4,26,4,RORGÆNGER
2021-03-03,4,23,5,UDSÆTNINGSGAST
2021-03-03,4,20,6,HU
2021-03-03,4,39,7,PEJLEGAST_A
2021-03-03,4,24,8,PEJLEGAST_B
2021-03-03,4,21,9,DÆKSELEV_I_KABYS
2021-03-03,4,58,-1,SICK
2021-03-03,5,50,0,VAGTHAVENDE_ELEV
2021-03-03,5,41,1,ORDONNANS
2021-03-03,5,59,2,UDKIG
2021-03-03,5,49,3,BJÆRGEMÆRS
2021-03-03,5,46,4,RORGÆNGER
2021-03-03,5,40,5,UDSÆTNINGSGAST
2021-03-03,5,47,6,HU
2021-03-03,5,54,7,PEJLEGAST_A
2021-03-03,5,48,8,PEJLEGAST_B
2021-03-03,5,58,9,DÆKSELEV_I_KABYS
2021-03-04,0,8,0,VAGTHAVENDE_ELEV
2021-03-04,0,18,1,ORDONNANS
2021-03-04,0,3,2,UDKIG
2021-03-04,0,4,3,BJÆRGEMÆRS
2021-03-04,0,10,4,RORGÆNGER
2021-03-04,0,12,5,UDSÆTNINGSGAST
2021-03-04,0,13,6,HU
2021-03-04,0,6,7,PEJLEGAST_A
2021-03-04,0,15,8,PEJLEGAST_B
2021-03-04,0,1,9,DÆKSELEV_I_KABYS
2021-03-04,1,25,0,VAGTHAVENDE_ELEV
2021-03-04,1,35,1,ORDONNANS
2021-03-04,1,20,2,UDKIG
2021-03-04,1,38,3,BJÆRGEMÆRS
2021-03-04,1,31,4,RORGÆNGER
2021-03-04,1,23,5,UDSÆTNINGSGAST
2021-03-04,1,24,6,HU
2021-03-04,1,27,7,PEJLEGAST_A
2021-03-04,1,39,8,PEJLEGAST_B
2021-03-04,1,21,9,DÆKSELEV_I_KABYS
2021-03-04,1,32,-1,SICK
2021-03-04,2,44,0,VAGTHAVENDE_ELEV
2021-03-04,2,43,1,ORDONNANS
2021-03-04,2,57,2,UDKIG
2021-03-04,2,49,3,BJÆRGEMÆRS
2021-03-04,2,58,4,RORGÆNGER
2021-03-04,2,52,5,UDSÆTNINGSGAST
2021-03-04,2,45,6,HU
2021-03-04,2,48,7,PEJLEGAST_A
2021-03-04,2,54,8,PEJLEGAST_B
2021-03-04,2,50,9,DÆKSELEV_I_KABYS
2021-03-04,3,2,0,VAGTHAVENDE_ELEV
2021-03-04,3,13,1,ORDONNANS
2021-03-04,3,1,2,UDKIG
2021-03-04,3,19,3,BJÆRGEMÆRS
2021-03-04,3,8,4,RORGÆNGER
2021-03-04,3,15,5,UDSÆTNINGSGAST
2021-03-04,3,3,6,HU
2021-03-04,3,6,7,PEJLEGAST_A
2021-03-04,3,18,8,PEJLEGAST_B
2021-03-04,3,12,9,DÆKSELEV_I_KABYS
2021-03-04,4,37,0,VAGTHAVENDE_ELEV
2021-03-04,4,31,1,ORDONNANS
2021-03-04,4,30,2,UDKIG
2021-03-04,4,23,3,BJÆRGEMÆRS
2021-03-04,4,38,4,RORGÆNGER
2021-03-04,4,25,5,UDSÆTNINGSGAST
2021-03-04,4,28,6,HU
2021-03-04,4,21,7,PEJLEGAST_A
2021-03-04,4,24,8,PEJLEGAST_B
2021-03-04,4,26,9,DÆKSELEV_I_KABYS
2021-03-04,5,49,0,VAGTHAVENDE_ELEV
2021-03-04,5,56,1,ORDONNANS
2021-03-04,5,43,2,UDKIG
2021-03-04,5,42,3,BJÆRGEMÆRS
2021-03-04,5,58,4,RORGÆNGER
2021-03-04,5,50,5,UDSÆTNINGSGAST
2021-03-04,5,52,6,HU
2021-03-04,5,51,7,PEJLEGAST_A
2021-03-04,5,46,8,PEJLEGAST_B
2021-03-04,5,59,9,DÆKSELEV_I_KABYS
2021-03-04,5,57,-1,SICK
2021-03-05,0,5,0,VAGTHAVENDE_ELEV
2021-03-05,0,7,1,ORDONNANS
2021-03-05,0,1,2,UDKIG
2021-03-05,0,2,3,BJÆRGEMÆRS
2021-03-05,0,8,4,RORGÆNGER
2021-03-05,0,17,5,UDSÆTNINGSGAST
2021-03-05,0,12,6,HU
2021-03-05,0,6,7,PEJLEGAST_A
2021-03-05,0,16,8,PEJLEGAST_B
2021-03-05,0,10,9,DÆKSELEV_I_KABYS
2021-03-05,0,15,-1,SICK
2021-03-05,1,28,0,VAGTHAVENDE_ELEV
2021-03-05,1,34,1,ORDONNANS
2021-03-05,1,30,2,UDKIG
2021-03-05,1,37,3,BJÆRGEMÆRS
2021-03-05,1,25,4,RORGÆNGER
2021-03-05,1,31,5,UDSÆTNINGSGAST
2021-03-05,1,22,6,HU
2021-03-05,1,33,7,PEJLEGAST_A
2021-03-05,1,36,8,PEJLEGAST_B
2021-03-05,1,38,9,DÆKSELEV_I_KABYS
2021-03-05,1,4,-1,SICK
2021-03-05,2,46,0,VAGTHAVENDE_ELEV
2021-03-05,2,56,1,ORDONNANS
2021-03-05,2,45,2,UDKIG
2021-03-05,2,43,3,BJÆRGEMÆRS
2021-03-05,2,55,4,RORGÆNGER
2021-03-05,2,52,5,UDSÆTNINGSGAST
2021-03-05,2,48,6,HU
2021-03-05,2,57,7,PEJLEGAST_A
2021-03-05,2,54,8,PEJLEGAST_B
2021-03-05,2,41,9,DÆKSELEV_I_KABYS
2021-03-05,3,16,0,VAGTHAVENDE_ELEV
2021-03-05,3,2,1,ORDONNANS
2021-03-05,3,5,2,UDKIG
2021-03-05,3,12,3,BJÆRGEMÆRS
2021-03-05,3,14,4,RORGÆNGER
2021-03-05,3,0,5,UDSÆTNINGSGAST
2021-03-05,3,11,6,HU
2021-03-05,3,13,7,PEJLEGAST_A
2021-03-05,3,17,8,PEJLEGAST_B
2021-03-05,3,15,9,DÆKSELEV_I_KABYS
2021-03-05,3,25,-1,SICK
2021-03-05,4,31,0,VAGTHAVENDE_ELEV
2021-03-05,4,39,1,ORDONNANS
2021-03-05,4,35,2,UDKIG
2021-03-05,4,25,3,BJÆRGEMÆRS
2021-03-05,4,38,4,RORGÆNGER
2021-03-05,4,28,5,UDSÆTNINGSGAST
2021-03-05,4,29,6,HU
2021-03-05,4,30,7,PEJLEGAST_A
2021-03-05,4,33,8,PEJLEGAST_B
2021-03-05,4,24,9,DÆKSELEV_I_KABYS
2021-03-05,4,34,-1,SICK
2021-03-05,5,50,0,VAGTHAVENDE_ELEV
2021-03-05,5,49,1,ORDONNANS
2021-03-05,5,40,2,UDKIG
2021-03-05,5,47,3,BJÆRGEMÆRS
2021-03-05,5,45,4,RORGÆNGER
2021-03-05,5,44,5,UDSÆTNINGSGAST
2021-03-05,5,41,6,HU
2021-03-05,5,54,7,PEJLEGAST_A
2021-03-05,5,58,8,PEJLEGAST_B
2021-03-05,5,46,9,DÆKSELEV_I_KABYS
2021-03-06,0,19,0,VAGTHAVENDE_ELEV
