date,shift,gast_no,task_no,task_name
2021-03-01,0,0,0,VAGTHAVENDE_ELEV
2021-03-01,0,17,1,ORDONNANS
2021-03-01,0,15,2,UDKIG
2021-03-01,0,1,3,BJÆRGEMÆRS
2021-03-01,0,8,4,RORGÆNGER
2021-03-01,0,5,5,UDSÆTNINGSGAST_A
2021-03-01,0,11,6,UDSÆTNINGSGAST_B
2021-03-01,0,3,7,UDSÆTNINGSGAST_C
2021-03-01,0,18,8,UDSÆTNINGSGAST_D
2021-03-01,0,16,9,PEJLEGAST_A
2021-03-01,0,13,10,PEJLEGAST_B
2021-03-01,0,2,11,DÆKSELEV_I_KABYS
2021-03-01,1,21,0,VAGTHAVENDE_ELEV
2021-03-01,1,33,1,ORDONNANS
2021-03-01,1,28,2,UDKIG
2021-03-01,1,25,3,BJÆRGEMÆRS
2021-03-01,1,24,4,RORGÆNGER
2021-03-01,1,34,5,UDSÆTNINGSGAST_A
2021-03-01,1,39,6,UDSÆTNINGSGAST_B
2021-03-01,1,27,7,UDSÆTNINGSGAST_C
2021-03-01,1,23,8,UDSÆTNINGSGAST_D
2021-03-01,1,26,9,PEJLEGAST_A
2021-03-01,1,22,10,PEJLEGAST_B
